test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_mcc,rep,train_dataset,val_dataset,analysis,cv,n_clients
0.8,0.7472527472527473,0.8021978021978022,0.7607142857142857,0.6666666666666666,,0.5714285714285714,0.5447047794019222,0,Austria1,Austria1,count_taxa_0,0,1
0.85,0.7857142857142857,0.8681318681318682,0.8607142857142858,0.7272727272727273,,0.5714285714285714,0.6813851438692469,0,Austria1,Austria1,count_taxa_0,1,1
0.7368421052631579,0.6730769230769231,0.6794871794871795,0.6289473684210527,0.5454545454545454,,0.5,0.36539907432351754,0,Austria1,Austria1,count_taxa_0,2,1
0.9473684210526315,0.9583333333333333,0.9404761904761905,0.9375,0.9333333333333333,,1.0,0.8955910525085282,0,Austria1,Austria1,count_taxa_0,3,1
0.9473684210526315,0.9285714285714286,0.988095238095238,0.9548872180451128,0.9230769230769231,,0.8571428571428571,0.8894991799933215,0,Austria1,Austria1,count_taxa_0,4,1
0.8823529411764706,0.8,0.8666666666666667,0.8588235294117648,0.75,,0.6,0.7171371656006362,0,Brazil1,Brazil1,count_taxa_0,0,1
0.6470588235294118,0.4583333333333333,0.6333333333333333,0.14705882352941177,0.0,,0.0,-0.1613743060919757,0,Brazil1,Brazil1,count_taxa_0,1,1
0.7058823529411765,0.5583333333333333,0.7166666666666666,0.46764705882352947,0.2857142857142857,,0.2,0.1649915822768611,0,Brazil1,Brazil1,count_taxa_0,2,1
0.7058823529411765,0.5,0.7166666666666666,0.6470588235294118,0.0,,0.0,0.0,0,Brazil1,Brazil1,count_taxa_0,3,1
0.625,0.4166666666666667,0.6041666666666666,0.125,0.0,,0.0,-0.2182178902359924,0,Brazil1,Brazil1,count_taxa_0,4,1
0.88,0.8733766233766234,0.9285714285714286,0.9176190476190477,0.896551724137931,,0.9285714285714286,0.7566444492037343,0,China1,China1,count_taxa_0,0,1
