test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_mcc,rep,train_dataset,val_dataset,analysis,cv,n_clients
0.75,0.6758241758241759,0.8241758241758241,0.6892857142857143,0.5454545454545454,,0.42857142857142855,0.4193139346887673,0,Austria1,Austria1,count_taxa_metaphlan4_0,0,1
0.7,0.5714285714285714,0.8021978021978022,0.7214285714285715,0.25,,0.14285714285714285,0.3126409456585232,0,Austria1,Austria1,count_taxa_metaphlan4_0,1,1
0.631578947368421,0.5961538461538461,0.6538461538461537,0.5432330827067668,0.46153846153846156,,0.5,0.18531232916527532,0,Austria1,Austria1,count_taxa_metaphlan4_0,2,1
0.7368421052631579,0.7023809523809523,0.8333333333333333,0.6979949874686716,0.6153846153846154,,0.5714285714285714,0.4200412794412907,0,Austria1,Austria1,count_taxa_metaphlan4_0,3,1
0.7894736842105263,0.7440476190476191,0.9285714285714286,0.7646616541353384,0.6666666666666666,,0.5714285714285714,0.5346815442312336,0,Austria1,Austria1,count_taxa_metaphlan4_0,4,1
0.7647058823529411,0.6,0.8666666666666667,0.7176470588235295,0.3333333333333333,,0.2,0.3872983346207417,0,Brazil1,Brazil1,count_taxa_metaphlan4_0,0,1
0.6470588235294118,0.4583333333333333,0.5,0.14705882352941177,0.0,,0.0,-0.1613743060919757,0,Brazil1,Brazil1,count_taxa_metaphlan4_0,1,1
0.7647058823529411,0.6583333333333333,0.8166666666666667,0.6215686274509804,0.5,,0.4,0.378489059622558,0,Brazil1,Brazil1,count_taxa_metaphlan4_0,2,1
0.7647058823529411,0.6,0.7333333333333334,0.7176470588235295,0.3333333333333333,,0.2,0.3872983346207417,0,Brazil1,Brazil1,count_taxa_metaphlan4_0,3,1
0.625,0.4166666666666667,0.5208333333333334,0.125,0.0,,0.0,-0.2182178902359924,0,Brazil1,Brazil1,count_taxa_metaphlan4_0,4,1
0.8,0.7824675324675325,0.8376623376623377,0.8666386554621848,0.8387096774193549,,0.9285714285714286,0.6011591171947755,0,China1,China1,count_taxa_metaphlan4_0,0,1
0.6,0.5746753246753247,0.6558441558441559,0.7584126984126984,0.6875,,0.7857142857142857,0.16511335536401342,0,China1,China1,count_taxa_metaphlan4_0,1,1
0.7083333333333334,0.6928571428571428,0.8142857142857143,0.8220238095238095,0.7586206896551724,,0.7857142857142857,0.3927922024247863,0,China1,China1,count_taxa_metaphlan4_0,2,1
0.9166666666666666,0.9285714285714286,0.9785714285714285,0.9702380952380952,0.9230769230769231,,0.8571428571428571,0.8451542547285166,0,China1,China1,count_taxa_metaphlan4_0,3,1
0.75,0.7622377622377623,0.8461538461538461,0.8563034188034188,0.7272727272727273,,0.6153846153846154,0.539791896359413,0,China1,China1,count_taxa_metaphlan4_0,4,1
0.868421052631579,0.868421052631579,0.9501385041551246,0.9049707602339181,0.8648648648648649,,0.8421052631578947,0.7378647873726218,0,China3,China3,count_taxa_metaphlan4_0,0,1
0.8157894736842105,0.8157894736842105,0.9418282548476453,0.8717105263157895,0.8,,0.7368421052631579,0.6396021490668313,0,China3,China3,count_taxa_metaphlan4_0,1,1
0.8947368421052632,0.8947368421052632,0.9529085872576177,0.9473684210526316,0.8823529411764706,,0.7894736842105263,0.8075728530872482,0,China3,China3,count_taxa_metaphlan4_0,2,1
0.8947368421052632,0.8944444444444444,0.9444444444444444,0.9263157894736842,0.9,,0.9,0.7888888888888889,0,China3,China3,count_taxa_metaphlan4_0,3,1
0.8108108108108109,0.8099415204678362,0.912280701754386,0.8615931721194879,0.8205128205128205,,0.8421052631578947,0.621703553052045,0,China3,China3,count_taxa_metaphlan4_0,4,1
0.8620689655172413,0.8605769230769231,0.9038461538461539,0.8806366047745358,0.8461538461538461,,0.8461538461538461,0.7211538461538461,0,China5,China5,count_taxa_metaphlan4_0,0,1
0.9310344827586207,0.9285714285714286,0.9952380952380953,0.9630541871921182,0.9230769230769231,,0.8571428571428571,0.8696565534786727,0,China5,China5,count_taxa_metaphlan4_0,1,1
0.8620689655172413,0.861904761904762,0.942857142857143,0.8916256157635468,0.8571428571428571,,0.8571428571428571,0.7238095238095238,0,China5,China5,count_taxa_metaphlan4_0,2,1
0.7142857142857143,0.7282051282051283,0.8564102564102565,0.7951850780798149,0.75,,0.9230769230769231,0.4873877907780315,0,China5,China5,count_taxa_metaphlan4_0,3,1
0.9642857142857143,0.9615384615384616,0.9538461538461539,0.9793956043956045,0.96,,0.9230769230769231,0.9302605094190635,0,China5,China5,count_taxa_metaphlan4_0,4,1
0.6818181818181818,0.6833333333333333,0.7166666666666667,0.7363636363636363,0.6666666666666666,,0.7,0.3651483716701107,0,France1,France1,count_taxa_metaphlan4_0,0,1
0.8181818181818182,0.8083333333333333,0.9083333333333333,0.8556818181818182,0.7777777777777778,,0.7,0.6383106423916777,0,France1,France1,count_taxa_metaphlan4_0,1,1
0.7272727272727273,0.7083333333333333,0.8083333333333332,0.7803030303030303,0.625,,0.5,0.4658474953124562,0,France1,France1,count_taxa_metaphlan4_0,2,1
0.6666666666666666,0.6636363636363636,0.7454545454545455,0.7285714285714285,0.631578947368421,,0.6,0.3302891295379082,0,France1,France1,count_taxa_metaphlan4_0,3,1
0.8095238095238095,0.8045454545454545,0.8727272727272727,0.8589285714285715,0.7777777777777778,,0.7,0.6264144833056663,0,France1,France1,count_taxa_metaphlan4_0,4,1
0.75,0.5833333333333333,0.7291666666666667,0.46875,0.3333333333333333,,0.25,0.2182178902359924,0,Germany1,Germany1,count_taxa_metaphlan4_0,0,1
